web_scraper_order,web_scraper_start_url,data,price,price2,data2,image,image2
"1771750614-1","https://eleveprints.com/en-usd/collections/hoodies","Unique Perspective Cropped Hoodie","$47.00","","","https://imgproxy.fourthwall.com/F_5HbqkvNGT4aMSRF6pYSOMoaDduoWmXro_oLKpOPZA/w:720/sm:1/enc/xVvq4pYg-xupt26z/k5Qc2hvz67RA13cL/MHTMwhxbMMZU0-5x/JxY0IpKfx6mW9Dno/g5lPJXdMN4D0dw_S/zZxxcZFxjtKrhuEF/oaM5uIcnMjt_7oAv/CRYQ_DLblsjvEwL7/HxBakWuxaPT3Y7h3/OxXg-ymTvbXvsZR6/dwdx8fn9JjsDgqIl/A9vOj786R3sIihs5/o9UhrpGB-CsyPKu5/gN4VeSu0ojeoih_t/mZOIoh1tFJU","https://imgproxy.fourthwall.com/LX5fX-fJuNy_-pP_vmN17u2h9-LThiA8Q57pRX-m44A/w:720/sm:1/enc/YZSKbW7EcuDliNba/sDdXmo3OBEFHi2As/DEYFO9RSTbAyuGjg/ruD_4os4_yRSVBu9/vnMqa4ryY_ld5EOT/b0zRcEGMZTBhMDEY/NQxxTZq6Ie4rZGoj/_IA8ZLalYmPbkZ3_/tE9yUfKJy9wQ3ter/YRZ3rE4zi1FP5CkE/_YN95dX-YmwFQytX/eToB8RVcOy2ecW3Q/9rMg2krxOubZ5mfM/rqtk1ikD3XW_b4qL/zz_3m8Be5gM"
"1771750614-2","https://eleveprints.com/en-usd/collections/hoodies","NYC Iconic Women's Crop Hoodie","$47.00","","","https://imgproxy.fourthwall.com/VmpYENxYAu6NdsEhQg9dLu_AqxelDp1xWhrMwO_q_P8/w:720/sm:1/enc/VjX5BuDt0iRaN4Qf/UBp3jhQEDgeCnQCg/u6dpZliumm4pFKMv/oiBwPmLVBU1u_9xl/9iF0YVTmSO5ptwAy/Bv3n8ZkFnKaLbHiI/KYDxytgnTBhJTDMJ/cFP4ynxZE6831iSq/6ao2OnfgreDZvL0o/_RgtQoOZqxNDefLA/EUMraMsnE_HwhQjb/M6ktCGOQ8hW6kTor/8m3HL2TuwqZtQl_g/TQ3fswTkW5oTh80Y/IZBviTtk4YU","https://imgproxy.fourthwall.com/-wATBHcq0aoCC2XpngSTRxzXXL6P1p-yIIDDUZxJcUw/w:720/sm:1/enc/PAC2Y4-9354qCngi/jJhcSJePsIjexvpm/yYjOyfmwAPZ6lZLP/RgYXwPhHWeQoGUPj/Hyp_VQxAO1RJW4V3/sI3hD20Tz_78n7t3/pa_AfwV9Jt5CVx94/-LGUrhQqN8h4kEQD/Ig_R5xZRhdM_lZc-/pjgKxKVCeYS6eHJR/JnGwDD7rhSc94lOl/sMXbfs-QFpxb0s0O/hIwPE-FzfYVEZehs/rAXD_d7EU6Xcjhug/r__LH6FLcRU"
"1771750614-3","https://eleveprints.com/en-usd/collections/hoodies","Rising Phoenix Women's Crop Hoodie","$47.00","","","https://imgproxy.fourthwall.com/PQmXJjcOJjck1ccvfag8j0GRAqWHGoMQoS0xxIbAolQ/w:720/sm:1/enc/uuy3dezURxCYvmMz/3U-dx1GvbsryghS_/hqD2ej6wnD_HL38U/5fZFyxzQqzJjb8h7/_JnBKB379oInD9KG/e4wdDPZBZ10tuEco/yCJiHbCsku3eo9gi/q2JA6J82LSdcIEFX/vG7QjIGQsbPcGwep/7YITaGl3iI9BAw3T/PKuKYd_rXnB8mwdL/jkSFqQ3-61Tbjoen/p8LWC93IGBig_W0J/Uh4ZVy3QRp4js3Cg/djkJP_tpilw","https://imgproxy.fourthwall.com/yQpSGW0y5ZlsxlQH-rQ2ILtRi6Ka-3ZhLwG-VB_h2_Q/w:720/sm:1/enc/7GLCWptdIzQNYRvc/Nt5H2N5vuTwhjhZd/eMeArWP_Rui6YrzK/EpICiK4-9_q6cyw6/33KdBfQtMvc2ZEwH/7uD4e33hy61pa-co/8I7n61v2BEwZ3uyO/2mZCqayyVdSccOlP/ppdiIbwL8aTilUYo/-0vNR0Y7TT4LfZdF/0s11yu-wCaZtZm_A/g_EpR4OYfGTSQbbF/Q6P7qUSodz3xi-el/qaZx5tNugLugWJh8/AMJGqJ9QDEk"
"1771750614-4","https://eleveprints.com/en-usd/collections/hoodies","Customizable Adidas Lightweight Quarter-Zip Pullover contact for customized","$99.99","$115.99","","https://imgproxy.fourthwall.com/GIIhPQQh0vHdM_EmLqogZ9vOSPUBi13GNKxor6nquuA/w:720/sm:1/enc/4tbOtWGzfSG5-c2T/lnaxSYAUEa0oPhV8/-xT1XzsYMCCcaVb3/scYa_ESnO9_AjjHv/RifY5ln5dATr7OQB/c8rvYERlndGYLEBX/C_v8loso2zKwE6Io/nWC99_U-5FrIV-3K/T4L2evm5k0M8wgWs/bESEF_ezRei3B1Up/41OjPfwtXuY-ji2h/ixzed4QuncLbVtT8/FHCba49Ymv5eJ17C/_XpD0aODH0xQ8cMJ/OumACujv7fM","https://imgproxy.fourthwall.com/ogFuOgoUiEdleGxTx4glKnJYIwZ2fuE71DOGbNJhPiE/w:720/sm:1/enc/yppu3MqcfXE-r1HB/qrMspqDkXHHiTo6z/BRcaXqd4dKsEmly3/Wq2vqAJEA5p9RRgv/2sBsNoNgXpcFoLWP/G-VuiE8mflSj1Mzd/C4QCuJQ1y6Dn9ekg/bHj1-XHiDROf8JE1/2rQU8wdpgdIxTcI_/6BD6-lq03mezsAYI/0Shmks6SimL8mLBz/rouJ1c3QLKUcuqDY/OW-iGKvsZrOQOyq3/_Z2ELe8lUoE9xI4b/pvixoKa2nVk"
"1771750614-5","https://eleveprints.com/en-usd/collections/hoodies","Zen Silhouettes Cropped Hoodie","$47.00","","+3","https://imgproxy.fourthwall.com/IMuBBDtpAHuy9P-0F-EQIGKzrzQn685OLdpz3TR0Qk4/w:720/sm:1/enc/yL99T4lfc_59RWZq/H1YLX6QcKNeo5V3v/MUUPpytptZNQfZ2S/LE4ptkXCQznP-U9p/3cIKc18sDK9A6MYA/GYmU-zu4Xe7zD2s9/ShQ3dwkmOt4iM7xp/_oyluG5Z9UMj5Ods/uscc1fFZAJC7M3L0/gOsU-QTjcQgwYL-4/4Ka22zbVIJaUbIMi/TjMgq5CCm_xA2FfB/h-pd3poknPM3QOTn/CdYs_YnU1TSxHr1P/Tgj1NdBk9jU","https://imgproxy.fourthwall.com/5zPTMgDvP-t1xMPFYw2iY5C7H4CYH7xBobggkIL1Ywo/w:720/sm:1/enc/Al753iVDmZGnuxgw/RCH88GGYSWPjNlWt/XqpoF99mAGh7raTW/nAjFATWpJ-9UIFz2/L0wapMyoNAOb3yqH/nxaSSmRbPXc2tqBb/ZEHBb-s-dZwBLDzm/Br0gYLYf233zB_e1/2JOdNJiHLnsHTiT1/mNU71PDQZCEdIffm/ADKCUCP_VfVFq26M/ob406rPkoBrFf_6t/B43gnC-tDBerPfD1/781tEz-kredO12Ny/cdfB73d3AF8"
"1771750614-6","https://eleveprints.com/en-usd/collections/hoodies","Just Be Yourself Classic Hoodie","$33.99","","+8","https://imgproxy.fourthwall.com/3qnYQmKnt3XUzlP7JtpiU-1YDm9MKMmaYb3Q-rWvLkU/w:720/sm:1/enc/WgIpKfivIEio_kd6/JqHXuF54c4Dz_vVQ/sLVR7hnhQqd2as7l/_AVCsCzKMT20SPnl/t6AsoJoJ96FQ9jQ_/BRYbDNNckYaD8evQ/DYrq2Dq50oXYGKXl/wYalE3Wl_4M3NNIp/0RX9QBS-MsaXIR6k/ul2LwnECVfw1TxGF/7WX3llLtv-o9U3mC/-VcqaUjruJtz4-tn/rXjBHUG9bJX2A37D/HrUI-help4vOMSLq/jkUDZx9-sZk","https://imgproxy.fourthwall.com/V5tVOo42EyzN0gJmPgd-UXWHpi3qABrANcicP7OUin8/w:720/sm:1/enc/rua_U6CIvpvULcF9/6SpT2pYTxIxcG_W6/LYun2rpZaMPFiLSo/MHu75W08XoFWGnDT/RREgz8rsS1GkKU3p/0sWKMLmOtgpmZtGF/N6AAc_TT-PEUWPGd/SHRh1ywLt9MeyCpi/8S6teggbZ6wLcz3V/IKikbmmSFrcZVQwh/zRMFaI9TJMYnG0EH/CjaI2TIg9aitRfUU/Cv6r8BU-YgWhWJw_/hIjJMGfZTnWvGGnY/2YNr01ur0v0"
"1771750614-7","https://eleveprints.com/en-usd/collections/hoodies","Vibe Dice Classic Hoodie","$33.00","","+8","https://imgproxy.fourthwall.com/YfNL8OXXgUVa6rcNx1rps6GINYNsJR9QNpLVghqEnqk/w:720/sm:1/enc/xlNxVO_3JfIyKhC7/EnXGwnKmBrIr9-9_/81uz1cJnZl04yD7G/t-p6fybplnRkKpte/LpGH-PhGmW3j4_4R/sKvw1ILIRAlR0igO/BGE8chZpifHrMWQE/4KJrTV4NexKr488x/NZ5hxssnas4OSI-b/JK3Cz80V7uF47Ps4/0s2FHJ0sQP0GBrFH/9lzcuiDLHVHrpvz2/WUhwsWh9d0hJBrT1/qOP20vxw64wXujoO/eJpHnLEA2VI","https://imgproxy.fourthwall.com/gZ0S60wMk96RE03M70xvk4HqJpmdPTkqrUjjvuxExDI/w:720/sm:1/enc/se_u0HLEX6p89__G/33bhQ2I-8y4OPmwZ/H7NzfV2k7z49vvi8/_P8bHocFCrIMdzGc/z_EG8A-jkxpzdarx/sinAbcDWsgH_9klO/u4mocUBzNgQC9MDn/P6Qx8e6yUHOPJjLk/sUW4LR3XmKIjjCS-/30uTTZNpgOKExpkc/qiZwspayT-cMR1Mc/JvcV4IOZL5WWlHR_/hgoUvtWkf2KjrKys/ttq4HlkS7c26KAvg/znJ3apkfZZo"
"1771750614-8","https://eleveprints.com/en-usd/collections/hoodies","Rose Elegance Hoodie","$33.00","","+8","https://imgproxy.fourthwall.com/5naC54gpAsKLMihybS0S_bToB0I50SitIiPmykCcHM0/w:720/sm:1/enc/QApaQJG5Cs1guyJb/mL4is0Mh9Nv3TYRJ/OSlVv7lDlwFYgcOI/E18Fr41-rY_8t4m7/6TKKDvIEZYt4yCzU/F1FTyo9dPu9DKuNi/yFbZuIt-c4qHp2lI/3W3cWHWJweOr2QuJ/PgAUDQaFX1dc-FVd/Czbrr0WgbBvJSMhC/ybirMj7DdDWfbS1k/GeU3Eqit23SCY3DI/9tiCQ-m7PiRKjWn_/HpB_z9ArtjN11qcF/zLJANwo-ZZs","https://imgproxy.fourthwall.com/C0IxPaJjvSTCbPimai1iIClP8oIXLC5wLTUpcJ7uJxU/w:720/sm:1/enc/yLkM2ImKoSHU4iWq/ekOumQffkY_GTmSD/tBHMcpyMECyimA3m/v4DAve9WUHKkolL6/L91YnaL-naoEurPu/C9nswSecImo5H_1l/D38PKaVkogjPSNL0/Z4G5NVDOrYQUaG0M/uKjHKl6oDeBjM1__/-ccmkf-kHNiEwGIo/IiVk5AXWYX94HVdX/IxwQAXuH1WOGkvtc/fbBJcfaLjcZrPfeQ/rdtwoTmJVIDW871w/8KHiDd3BS_s"
"1771750614-9","https://eleveprints.com/en-usd/collections/hoodies","Bold and Beautiful Hoodie - Don't Look Back Edition","$33.00","","+8","https://imgproxy.fourthwall.com/ZjjjscxdUpLHN92bHVEMxlyJ56763gOYWCpZkicgpvI/w:720/sm:1/enc/h-FjbLPd1oBtnJGP/iPUCuLwyttDq3Uc9/_TzCm5jZLzRtlN8g/WhY0PCylnjqjnZjK/5Nh5PYoT6D-dF1cU/NZX56iB25Tl-YQ6d/JSjxJzQamnRfZmQE/6iuC2NF8N_KZKHwO/xcRocamg-npeCujW/wS-rV-RqSNF2N3P4/k06EMfnp7_bdKgt8/w0TSRgu54ILklvZS/lx-oymv6o4XgeHg-/qt2nk2-Wa-GuINYZ/s-P46DSNXwU","https://imgproxy.fourthwall.com/6cA8h8Jc0vwBb1VeIPVSGjxz0q14Ye8EqW9-6QZbpLI/w:720/sm:1/enc/qYI8e7keNhRwpjMB/iF8ZS7tB57oyoibU/pMSvcrZ_YhQWqjy8/fZ3rGS5Thxa1NY6N/FY_BeSiEPB8kOWht/CaJTDzMTQLnOPxK-/LGeRUTl0Z46gCoP0/swCZqB5BjvFNPZxU/ce0OaVxHhnIq30au/5jXKe1NsIYmLqacJ/YB8yDMX98ZznUel2/E5b6dRudWkLAxSw3/2bQ5zNE9eG0Q4QRN/IiX8EnoLuLLSL4j4/LrHUP0oL1Gw"
"1771750614-10","https://eleveprints.com/en-usd/collections/hoodies","PixelCraft Hoodie","$68.00","","","https://imgproxy.fourthwall.com/Z_sR6D8Z-cqJ-gqnXhzB9uoSobiWSyo79odtkvFXYp0/w:720/sm:1/enc/pLAuNBWZk2cia3KU/ra_Q3_QGdwIwzK_N/4cUP1y46sWZ2PzYX/tYMrHCTTK1qtekZj/jBW2vvoLbzpwi2ya/0Owmklj4d__Ha01N/ZqVA9xKAKL0TTryI/kfKMYvMAmy2A7C3i/3u29qCU-ukrjcOwQ/aiXSkV0c0SjO3oC4/ZwgBmWsz9lg_lwtn/x3S4ZQmZ2hNnHIRH/SdksAEapTlLvOAPj/09rxQRZ1DEOEer06/rKYAPxXfGCc","https://imgproxy.fourthwall.com/rYOWgTr7IInqsvkxikak55Dd-9g6a7PUoqRH37S5lRY/w:720/sm:1/enc/0GsmIFt22beHINDg/DmpkUl-ve8kDCz8z/97STw7ufTeIXwOJR/Tp_jWOX9R42Hr9-3/UksXQ9mYdNUphY0v/VkLJc2qCZqQ_NgUF/yBs1knJcx9zVmVhx/tUrzl58h2j618DAK/PRsoJXEinNKzMN4F/R7WKrkPkLYHK2Qqv/cQnwOrQLz9TrETEQ/ML91GqxZqgiSziuB/8AYRFNkiLp2Jloyy/7LxNQIAxrS5hyN4g/Wb2mYe-XfMk"
