web_scraper_order,web_scraper_start_url,data,price,price2,data2,data3,image,image2
"1771750658-1","https://eleveprints.com/en-usd/collections/hats","Retro Vibes Foam Trucker Hat","$24.00","","","","https://imgproxy.fourthwall.com/l2fyrTxSXkUUOjRr6v5giqvuzfyDhxp21W1WCb4HjGw/w:720/sm:1/enc/2KAjFAKa8Mz8vHpl/OFPzeV_p7iRVjhfU/tbMt-CVK3EA7txhF/8GX6zVTRbzkyy2oS/JycjEGMlG6QTCEwj/QKMrK5x946Zzz_wS/bni8Bcu_2F6ydo__/CeXcEbxuPO5sEZNN/1UIFpokaShWLEuun/8TDOUg0BfoutbKRB/iMixXrPtMDuPXrSD/h10mguszi054qKe9/vXm__NWzItvHuwPD/3qcHoBWfcNCzaXun/XfkP1Z_koG0","https://imgproxy.fourthwall.com/n1-ekHf-Nt-OE62LnjzvJXyfG1mPzrkji-d3Jm6mjm8/w:720/sm:1/enc/wqFKKHVoHb77uzHZ/W-G1porbgYhgAlTR/WCEOyiZbRIQvpfTP/5zBW8prnbMlLXoaQ/ISZ_f_moKqKm5kEH/YhpDs48-xL3jj7hi/7IRg1a8-dtTOjQ1w/cbrxuINnBWlTyuZ5/6H1T2SDIr8bOBsQl/VCoi-rkiMIfG4LfM/8nlqfz3Mmh5t8MJS/DTOwJxH-0WTZbPDy/FsO4jb3T6FG0GCVH/laNOpHYdvMBO7j96/ZBz69WQrbxY"
"1771750658-2","https://eleveprints.com/en-usd/collections/hats","Retro Muscle Convertible Snapback","$26.00","","+13","","https://imgproxy.fourthwall.com/imG8qYm3SFWQk9J2yzGTPhzK1YwMcrHQOQITvz_-WrI/w:720/sm:1/enc/1xxo8iBGL5F_b9dh/ihNur5wRiRUrm55H/mnRu3IG9bXCOVpH2/qzMgMjOMb0eL3jc-/qPLsWbSGULVmshFB/ZIhk1rvhLGhYXBrH/-NmP-vJnx1dZe_gU/6EifnHygiHqOnzdO/Sn23UhtOqnpL6vbi/bhiqEmA9L-i40QIh/L21aErCmbAcAVFaX/CN9NKJIF-k840CIk/FpiFc1E2iArmkgwg/pnO9-UP3Rv0xkLs5/vOlbrxu9oVE","https://imgproxy.fourthwall.com/1BO6KUcAA6GMc1gvclkcozQmohMSS6GZlGtk2keVs1Y/w:720/sm:1/enc/SiNqqbPBieeGQQnL/eZ5zK9FqCP84OS1Q/dnrHQSEnhSyYgqd1/5NTpEOaeo5PpbOa6/11VYDhUHZCoJOsjc/ith8QrvZmsjOuvVj/pKUVOvdj7wtnF24l/EdU4DNPxJyO0Qj-7/JUuMcfXkHrRVe0Ka/JWceeGVrYrOYvq0a/65N-SqSjLQz6kxAM/m_83gg_uldzx9DT-/B4pANuxF0v5388mt/JyQwjcJjjTkbek6S/KHGpIDGgiBM"
"1771750658-3","https://eleveprints.com/en-usd/collections/hats","DARE TO BE Different Denim Bucket Hat","$28.00","","","Sold Out","https://imgproxy.fourthwall.com/APk188ey8ZqfQnsBseDzedGBlpV1ZuLQYfcSzR3zx3w/w:720/sm:1/enc/RIGBoNXrIYJ6ebT4/26EVcgfW4Xr8t6bV/ZPdo6qoqi6dZlc_g/caaZO7-DMOwlunG5/mShQSww-9jracfRF/m8t3mvu9NbvxdlTR/FOki_Re-M2pgnZfo/q76UbGu_ZKqq41EF/dQq53N4uOTG0Iqy7/l-064xQ0tmJ5abdY/4Tu2KoA9wsfoq58-/X_UrwiPk9xzXgmzd/MbG8x2uDaW0Wt1tf/JMivqA","https://imgproxy.fourthwall.com/VJlfq00QdGE5-B-SPGzNUJv8kbVyfYiuGJIX6CFCZbg/w:720/sm:1/enc/A-KIFElHQoCGwwqq/nUdS8K5fcVmpq0SW/6psZ1BK3yLF80J-q/gHW7fzkObG5dQceg/2NQ_xwsyalxdtZyt/BsDUatRn_Y2iAptC/isHt6h4mff07GgAF/asUl3UytM5WhAAnh/Pcq2bx5b21JxNEc5/bzFT7RLifgM48pue/Cr-Qw8n95qqwNt5B/bqORrAaamGgnM5e-/hMeE5EnsU6n7nk8j/6YUh9vBaQKz_gW21/7P67yq43gTE"
"1771750658-4","https://eleveprints.com/en-usd/collections/hats","Mirrored Balance Cuffed Beanie","$18.99","","+5","","https://imgproxy.fourthwall.com/ot7gqUq6fcjU8pcQ9b8JEKtebTqtPFuXa3Em2EhnXJo/w:720/sm:1/enc/Vh52PXVAliVTL8ju/8Naj8GUFP-3ufC5w/LuU3SrSNfDoMWaoj/98YuP3GvQ_Rm0Jxv/ntUusH0VKrChMxod/9zQ0j1LvNrA4f_hh/dF4lGCdF8Hs8_5Bz/xP7v3TqJZ8J0pzdC/FbvcSV29upqdg3lM/OUmQftLiEviKwJX3/652ZYv3CHWmPylFa/MolRxCCesiRs7drq/rAziA7cpcUSxPb06/qohjxIB0H73Kky-S/l04JlaSCVT4","https://imgproxy.fourthwall.com/BM61A_SUWxl3bap-40RWEE63uCeBdP66vneQaFNCXms/w:720/sm:1/enc/hv8Bvuv2fr7ErrVo/cy1BnzKLpXuBUgnN/87xWyIw1sE5R-4Dy/jdWMzNnsjvdurXVm/arwN8p2xv9Mnwsxd/0DGFmxPqaZg5n4U9/A5rfFX-lyl3Yv13J/95GfL9PE70S4CVCi/YyynO1Z3xGp9raNg/rXJznwVLeorJNcO0/Ikk03kBiUSWHmLJP/aqZ6h3Fe71pdMKYV/24gabi-BcF1C0LgX/J40K2Bx7GLaUoInS/cFck41OkIPM"
"1771750658-5","https://eleveprints.com/en-usd/collections/hats","Balanced Perspective Dad Hat","$25.00","","+5","","https://imgproxy.fourthwall.com/n0bc3MGKkHS3bEYpBiWfek_ZOoVL0BJWVbpTBshh1rw/w:720/sm:1/enc/0w-lkQ6uNmn1mFhD/w0nY8PJHPxXkhilY/Qe2E--_FTmFj1M5i/pBLXbHeiaTlxS0vJ/NLTmbTZhoOM6Ox6E/hy0aMqAqEiFv3fsS/fbIQJmS_Tz-YYojI/shJRs8cw7BqxlBwW/EzvcbbvAmrXu38G0/3LdffzVMxnQXUnlW/a7Y-jNY9OyWb82ya/kfkbtearSeleMwIK/9VyivrPu9T2EmWzA/6mxtwJcfUSEk8Bt5/pHRjdS56Ezw","https://imgproxy.fourthwall.com/KREDbuJcv2KMuscxelttQ9vCIBJzk-yzsUTsd2EOWf0/w:720/sm:1/enc/BqCd0ubYJmc5tp5J/8SnbXulgsraz0ALY/3hC5zugFW8_LH_rZ/5x77zBDQNotrTw9f/rcYBTFuOPO2_66A4/MAU3z05nbj5_oEa8/pec7gv6kYr4fhCAY/dBdM6VmXJFmObCMG/vGDI770BNyJdB4QB/ie8YdyMwkLh3NgDA/FXm8gF3i780xa80A/COcgc_YnZZXF47ku/bhJ4qsLGozEEi72v/MnJUZLqR4KlE_Ooj/ijI3JUxlMMY"
"1771750658-6","https://eleveprints.com/en-usd/collections/hats","Artistic Foam Trucker Hat","$23.00","","","","https://imgproxy.fourthwall.com/aiAxIN-Qg_h--eOe_UaS6ydFk9xMHKLHGMh055bME1Y/w:720/sm:1/enc/01rUeCevrnaITPOO/Gtg01SZv963RglTT/fO9EXFSXWzG-KYd0/DnePkMmXufKrF_wR/Q1SRO1zRYZc1ibLh/4oIHaNgp8Qip9Np4/WEqw4EMnikrVnrRT/L-v9pVM8YJduk7Pp/Vcm1nUHslRwasMKG/HuSeQYZDdy6TsL21/KZn6Id9n75Afu40M/tUYMPgZYDg2qHOmY/xxVHC_D_7Qy59HUU/WAjr9U28CWeK7ckH/4oslUUBiKRc","https://imgproxy.fourthwall.com/p75brKzy5cSAD1rTsWPkgfT0OuWnMlAGmnKXmWTd0EM/w:720/sm:1/enc/Vmgsq5w9reDOzlxS/1Y7xqeuvevDRIjLG/7tWs4EYpUjlmgIMK/DOokHl3T1KQQaMd-/B3arrcrTyAziP3IV/GArNLGaV0CCTH79j/WuhUgws2EnVEQd-P/btDK10APiGHmjVOj/_7q6B6jJ0Fgko2Rw/X7f5k8UQ-6u8SpGP/VYkO0Ef9trjf3t0S/Yt0bse0hu62vjdMS/XoHkr5NfPO9qHYMe/cY9SmropnGoyuMXi/IqsJVZVefAY"
"1771750658-7","https://eleveprints.com/en-usd/collections/hats","Cash Flow Statement Trucker Hat","$23.00","","","","https://imgproxy.fourthwall.com/CWY6fZQA2CZjy_8qPNpNEWFaAX1cRFB_TIt4vGossIk/w:720/sm:1/enc/57qgPFFyexjJ_myM/nGcMhIVNjhnCcG9E/-zvOBJo-VjVBzCbX/31KYRPUqBGus8A8a/Q7-hLZJUNoOP_I1t/Ijv4C6gCzFCdfUS9/KS_S-8OqlY7YB8WI/1Lpt3mrnrRcgodot/W2SG_5yOB9vJNICO/YS5E1x1LFLLzlatJ/diyTQbe2rG5Pu3Ik/NnDXc5JVupUPyzL9/y8OKmhE26Mh__iW-/6ZJi8qKlFXynRmDV/ut25P8pQYqU","https://imgproxy.fourthwall.com/gnwVPuKjb0iHaOcNrzuh3JsXlMd0o-cOjxEn18vhSUs/w:720/sm:1/enc/h9LoEM5r4gNTlESV/1fui4yn6pCKjJtrw/3-a0gC5CWE7A1iLJ/tece9CgvdPPpApya/2UYzSoLZEpKyIg8t/87p52uagpVs8SLSJ/zJg3wKjLbh9PIdxq/O9Njnx51SoiyEYoq/bSkfVwsy-K3F21HX/gP-_ULLshhjBLk3c/XHDTjOJAuHe-u0hr/92z3fDW3FTjzgXjJ/xlR4xEl7KVUFfA5i/XAhUHjzsHA5GrGPX/RJDyAWOKQgs"
"1771750658-8","https://eleveprints.com/en-usd/collections/hats","Limitless Crimson Script Bucket Hat","$38.99","$38.99","+1","Sold Out","https://imgproxy.fourthwall.com/C8y9uaIwq_8neBr_TW8OQG1XuWWsTTv3Z5ye9wmF8Ho/w:720/sm:1/enc/yrLMmk22mq-n9Ugg/xIPlYL83K1IICKkQ/Z1KqeEBntVwqq6TF/AZf2bwiSCy8DFuap/K0XTCsC0wcHHiKR0/T-zkFpmKeGmhPl_X/SGoqGp5pB_66Q5g1/OJGZ3AvKergaWjdI/_kq54tLyqYWdw9Zj/9tJQFAMVza1iEFTw/w8BKwwHknRCSoWZ8/xo5tgW5QZUlxIF3f/8_F7qbD2o_CWtFvQ/xmomk2GHeZCyWjZa/knIEB0T9aH4","https://imgproxy.fourthwall.com/qxDh5fUm-w_8Vz0MsktDIbvCuWw4eayPZ4LtLcEX6zg/w:720/sm:1/enc/5f-gXJB4qRyl6vou/mWcO3pPW_1yW1Rlv/xx62pd8aouorRkyH/eMc9EOY5p3CNxk0x/FnQrJBO0CvT0nqLD/_ml2JXqoMQM10t3c/YQPsllDvudNDZIaa/V0GvUud54f1Bz6WX/MUFfdjUDKm-LKB1R/ZG4yjIKENTFl2wF-/rCn-IKq5_bnDfBLa/F6PiIdR_2hECGp7M/w2iQx_V4jpDwF1Qx/oXa5n54nflqwGfd_/W5Ennyp2tRo"
"1771750658-9","https://eleveprints.com/en-usd/collections/hats","Believe Always Performance Cap","$59.99","$59.99","+1","Sold Out","https://imgproxy.fourthwall.com/XC4VFSa4LLun3jb2AO6GZOdmW2koMRz7kW7y3MZWf58/w:720/sm:1/enc/nQBFalk9lfdIKYaj/mUMMgP8UJ6zf_ExL/RJ9rMNxKXdUiTVI1/dt2RQcjkAQ43E9K2/XqJQekg2sYwhOzHN/-GeNXW7sQVP5El1v/9hykT-wtJOSAQCw4/9zFQmcmjNgUIPw3Y/HL-uV2tYOYSpNrVu/zR5FL68yPtXWnGnM/EjEWOBpPIUByuSfD/3D6FON4jMeQ1Oyts/0-B1EWHPfPSZSYJM/Z7RgcA","https://imgproxy.fourthwall.com/_7dYi5bjVHh5ogNuhB2p6wDFS1huKddrwL9Gc8lgA1k/w:720/sm:1/enc/qeksdwGGAW_51scL/sdCTzXHU5q9ovC1S/xLlU2QSmqm1kJ2_H/5aUTYsA_9Vp6tAZn/-wXBolYNLNP89sAI/4mnhKvh61RcgW0CU/UgZ8XKv3J3-KaQiJ/td_LGJjS1cFpTzLz/vrRacPlnUuJxoCGH/k6Ey-lrDZC6Q_OAU/XcFFZk4_iN-nte0q/t1pX2EBKqCwo4jTk/cxg7MbJt4A3iamNW/sqhq9q8MW-b6-L1y/fMnkeUZV_bQ"
"1771750658-10","https://eleveprints.com/en-usd/collections/hats","Borcelle 60 Bucket Hat","$34.99","$34.99","","","https://imgproxy.fourthwall.com/HQ_BjxyljXXNVFxDPSPkeHf-xdI-ipuOq_p9m7VZRG8/w:720/sm:1/enc/Gts1nZWi3JLUd40q/S3CN2CMCetDDMJXb/KZLNtFE-lG03FCQv/-1QolR2lvBRKaf9s/HO8_3Pg8dpbskSCZ/aDboBqSImmvfWalH/jfyk6bpI2iyOL278/KVqiywpwqLW__LIM/raryPTOKROsi5Fwk/W63w2A5EMyHjrvPF/gtFz6wJ4gvVBs6Yx/fSpQeeJzNjyKy7so/2JlOI7CF7EKI-PUj/WKGfNA","https://imgproxy.fourthwall.com/sdbLEThrM9mBrHJboCQyslHDHs81pb9WKE0wrG4k6IQ/w:720/sm:1/enc/J3283xc4MEoMZZ0F/NG8-QyzWWxbBl89a/zWHoEgxlPsD7JqiR/olZtbf5LMcBVbCnT/lHnfOBXvLJ0y7a58/3U6JUtMa6PgUggNi/z1WfTIQyi5oKKdS-/VZYL8jND_GhKYDBc/NAHsILTX0QPY6IzK/ceOKsNgw0NkvOGKm/-nhZTt184tvZa7iV/OvLmDh2SxD7L6rK1/tlaS-PimY3r1_5RC/ssUu43DDFyRAqSE1/VxCSPivrFNY"
"1771750658-11","https://eleveprints.com/en-usd/collections/hats","Yours Truly Trucker Hat","$29.00","$29.00","","","https://imgproxy.fourthwall.com/MIPXvt9ZBbprC_W9bERsY9xI_Tb5DFGuaS5kwrpOStw/w:720/sm:1/enc/E5wV20ATdLS8R72l/udp89wD7F8mMlKyG/-hE-XE2N6tmzEtWM/skGF_GgXLvr125hk/V1PyuLNP6lG0gi3E/qNHxXHHo5g04iKvi/IURXElY5l6UqW03U/OibDUN8AGRCPW4yp/6mGQUZJ6DGCdmWAt/FS0GZ2H-tacF5IWF/tNf1phmCOU2HeqGO/DDdTrJhXV0zxo5Ue/To76sK8pA5b-JI3u/NZ8YY8FHsELZW-CT/1DmdLoDwO-k","https://imgproxy.fourthwall.com/8l0RWGSfi1g1GaN4GHPFXvm_ZkXRZ9-nm84tDunHAsw/w:720/sm:1/enc/Lq-PEkPNh4vkqykR/RQiQignRy_e70J34/ZAoqwjKRNbmDmgqp/0x6rv7Ly7k8vQp4C/uL8c3uycfc4YqBtR/yUNtDQkFpTqlU06Q/4VpFfA4I79uFUn8s/qv-UAYS1eIWtZEiU/16fqnSDHD8voZ2YO/FY5b3pTk_PSyygoh/ULzsWhoFHTt2ERPt/_ADLJXuFVPPfOksd/owxvw63Mjasp7Yd4/NDM0Ahl2tzI37Nar/gjKKITH0p_Q"
"1771750658-12","https://eleveprints.com/en-usd/collections/hats","404 Blood Drip Cap","$39.00","","","Sold Out","https://imgproxy.fourthwall.com/-AqSKTdCwUK8M2Azv-383q7BpJq0A36KocaThd2sp4U/w:720/sm:1/enc/aiRkIhcUywY7LGYw/_cj_rtfie-Agdo1Y/sSHcfK76lugBTTCF/4QlhXaTbBknPAmVx/QPfNDc2qpIDLoxtI/-lWwPj8Ef2CwrrVO/RAhc4zp0MEhD9XAL/n1HCZ0IKBj5nXXSO/bbWvyHxhnHNfCfV4/wSp6FsAucltwlYIF/WvoK1oLTAnMW2FJp/tT8KQpdjV3naPSXG/w9--aFrJJ9NCut3D/ZXdMMg","https://imgproxy.fourthwall.com/WOwR115FwgioD1F_K8qdr8lFhNV_nlypdR91Bd3j-cc/w:720/sm:1/enc/8IjzL_AgqP4E_vij/fHLm_b6vD8zxfnQq/T69sZHZQo8kaqPi_/GtxSxcG5z1sJkC3R/mr-inAQA324fj49G/FRVIMIcJVbMvFPKo/ELz7fkcMoBjsLtCY/UNcR9yIdmRHu9UQ2/rkaolOmBXF51gm8E/qqkIDKiBPdBUQSfZ/-b6-OMlDrKuywSBd/Tp2coUHVHgrpTrYx/n2AxT2UCZAe4q4wh/Md-0ig"
"1771750658-13","https://eleveprints.com/en-usd/collections/hats","The Legend Snapback Trucker Hat","$35.00","$35.00","+4","","https://imgproxy.fourthwall.com/60LFRshkf0xsdqKqIYIE01oJcqLJRTwSDl0hmihNjAU/w:720/sm:1/enc/J-x8YhWEiIzgnnqp/MfZRXwtzAlVo1Blc/vt15-A-ChZVeecr2/0zxBTQ1rbXIP5mDJ/MtIZ8pUquMQQV7Er/fDK1mVoeJADrZNqc/UyrzFNKqCXavr0Vk/Q2ajb_fy7I3l2zZ-/g73Ve2g6lDTzR7Ug/JPNoCNfBBEJTJsuh/ApU9zM0Zwoub5_eG/cn6SRoVsX2FHkini/2BDrJaOvusncTLXO/wJLQAcAwu1ONJxqo/72JCRlqa_MY","https://imgproxy.fourthwall.com/CUitD3OO8iu4QIBnUvtF4Xo5J_1V_pdof6IbXJS30Yk/w:720/sm:1/enc/VjFffrBNGzi8RMmo/VpL8KZUjBXcWhnFZ/opFlomYXeIv0xxaz/F0D-bywPRN8R4EJE/6rmliAPejUFiWvE-/DQsEK61iMdvPUweF/ZYI-ceR5LUCx1FL7/Hak-aAW_SA08TGfU/MGL38Mt4sie0CRCM/aLSSIMGorw0yyBk2/cTf4yagfiBr8dMB6/2YBxruxLkoX-ghlE/sunCwEkx4AyEH9gf/EueRRKF-jy_CW5j8/xA8JPNnVJzs"
