web_scraper_order,web_scraper_start_url,pagination,data,price,data2,image,image2
"1771750842-1","https://eleveprints.com/en-usd/collections/all","","Flaming Confidence T-Shirt","$22.00","+4","https://imgproxy.fourthwall.com/UC3pEngHRD4m0b3gDyj5GINrWtpEMx1cwAmQBGqwQYs/w:720/sm:1/enc/ReXm0rLBfojDFLWr/GTZmi-OBoj35lFAo/L4IeSJX0wXRM57kj/62-_2NTKGglU8m2d/vzm7KWXAxGSsPp7d/EUlU6ntlfYF4QIKU/V1XUWHDrG49mW_5v/zXvwq66dpSQvLWQX/CyTvKeAKTTpgfCc7/O-6nCud9RwanFYYm/AMkLDU-j4BMT2oDK/vTXyIs43TbaE0rkp/WtxShBn6QUujJ8sr/kTaMlw","https://imgproxy.fourthwall.com/L0mDoOKB58i3JEaAim6r19lhwF9AMv00nC_Guap5iL0/w:720/sm:1/enc/I_S5lpjaOof-TiEg/hQKbK_lBr428sM4N/hjoyo6NERexp_5B1/1Z91kNoRF5F79_El/KLXwiXskUlq1w5IN/He1ilyZxhBoGU3kz/WSkVjH52RxPZs8Y-/I8FJ3kjgfYW6ZrSW/3nsjI1IMm81Mwp-W/E4L3VkeBVgS_kyE-/gOpHE3WrMrEtEKft/06C2outPXx_Qqbbk/piea9QwG1gXR-bAB/yp04hw"
"1771750842-2","https://eleveprints.com/en-usd/collections/all","","Rising Phoenix Women's Crop Hoodie","$47.00","","https://imgproxy.fourthwall.com/PQmXJjcOJjck1ccvfag8j0GRAqWHGoMQoS0xxIbAolQ/w:720/sm:1/enc/uuy3dezURxCYvmMz/3U-dx1GvbsryghS_/hqD2ej6wnD_HL38U/5fZFyxzQqzJjb8h7/_JnBKB379oInD9KG/e4wdDPZBZ10tuEco/yCJiHbCsku3eo9gi/q2JA6J82LSdcIEFX/vG7QjIGQsbPcGwep/7YITaGl3iI9BAw3T/PKuKYd_rXnB8mwdL/jkSFqQ3-61Tbjoen/p8LWC93IGBig_W0J/Uh4ZVy3QRp4js3Cg/djkJP_tpilw","https://imgproxy.fourthwall.com/yQpSGW0y5ZlsxlQH-rQ2ILtRi6Ka-3ZhLwG-VB_h2_Q/w:720/sm:1/enc/7GLCWptdIzQNYRvc/Nt5H2N5vuTwhjhZd/eMeArWP_Rui6YrzK/EpICiK4-9_q6cyw6/33KdBfQtMvc2ZEwH/7uD4e33hy61pa-co/8I7n61v2BEwZ3uyO/2mZCqayyVdSccOlP/ppdiIbwL8aTilUYo/-0vNR0Y7TT4LfZdF/0s11yu-wCaZtZm_A/g_EpR4OYfGTSQbbF/Q6P7qUSodz3xi-el/qaZx5tNugLugWJh8/AMJGqJ9QDEk"
"1771750842-3","https://eleveprints.com/en-usd/collections/all","","NYC Iconic Women's Crop Hoodie","$47.00","","https://imgproxy.fourthwall.com/VmpYENxYAu6NdsEhQg9dLu_AqxelDp1xWhrMwO_q_P8/w:720/sm:1/enc/VjX5BuDt0iRaN4Qf/UBp3jhQEDgeCnQCg/u6dpZliumm4pFKMv/oiBwPmLVBU1u_9xl/9iF0YVTmSO5ptwAy/Bv3n8ZkFnKaLbHiI/KYDxytgnTBhJTDMJ/cFP4ynxZE6831iSq/6ao2OnfgreDZvL0o/_RgtQoOZqxNDefLA/EUMraMsnE_HwhQjb/M6ktCGOQ8hW6kTor/8m3HL2TuwqZtQl_g/TQ3fswTkW5oTh80Y/IZBviTtk4YU","https://imgproxy.fourthwall.com/-wATBHcq0aoCC2XpngSTRxzXXL6P1p-yIIDDUZxJcUw/w:720/sm:1/enc/PAC2Y4-9354qCngi/jJhcSJePsIjexvpm/yYjOyfmwAPZ6lZLP/RgYXwPhHWeQoGUPj/Hyp_VQxAO1RJW4V3/sI3hD20Tz_78n7t3/pa_AfwV9Jt5CVx94/-LGUrhQqN8h4kEQD/Ig_R5xZRhdM_lZc-/pjgKxKVCeYS6eHJR/JnGwDD7rhSc94lOl/sMXbfs-QFpxb0s0O/hIwPE-FzfYVEZehs/rAXD_d7EU6Xcjhug/r__LH6FLcRU"
"1771750842-4","https://eleveprints.com/en-usd/collections/all","","Unique Perspective Cropped Hoodie","$47.00","","https://imgproxy.fourthwall.com/F_5HbqkvNGT4aMSRF6pYSOMoaDduoWmXro_oLKpOPZA/w:720/sm:1/enc/xVvq4pYg-xupt26z/k5Qc2hvz67RA13cL/MHTMwhxbMMZU0-5x/JxY0IpKfx6mW9Dno/g5lPJXdMN4D0dw_S/zZxxcZFxjtKrhuEF/oaM5uIcnMjt_7oAv/CRYQ_DLblsjvEwL7/HxBakWuxaPT3Y7h3/OxXg-ymTvbXvsZR6/dwdx8fn9JjsDgqIl/A9vOj786R3sIihs5/o9UhrpGB-CsyPKu5/gN4VeSu0ojeoih_t/mZOIoh1tFJU","https://imgproxy.fourthwall.com/LX5fX-fJuNy_-pP_vmN17u2h9-LThiA8Q57pRX-m44A/w:720/sm:1/enc/YZSKbW7EcuDliNba/sDdXmo3OBEFHi2As/DEYFO9RSTbAyuGjg/ruD_4os4_yRSVBu9/vnMqa4ryY_ld5EOT/b0zRcEGMZTBhMDEY/NQxxTZq6Ie4rZGoj/_IA8ZLalYmPbkZ3_/tE9yUfKJy9wQ3ter/YRZ3rE4zi1FP5CkE/_YN95dX-YmwFQytX/eToB8RVcOy2ecW3Q/9rMg2krxOubZ5mfM/rqtk1ikD3XW_b4qL/zz_3m8Be5gM"
"1771750842-5","https://eleveprints.com/en-usd/collections/all","","Moonlit Romance iPhone® Tough Case","$24.00","","https://imgproxy.fourthwall.com/4KxfMJktUeQgld6325jl_XHvoMB1ylZ2eMDP3HKffFI/w:720/sm:1/enc/pb0mVIpFSAmXNjel/X4OF4ko90S6UfIUd/wxW3MMuJyAjHykT7/3qSeoujbaqFgui1j/Ox4i0GWNHe9-REEP/rafwBZ2dr51S_3gS/hpa-kxP-tvtRIYHw/uQQsVm7LhXGFDGps/PUcah3ejyPoG0LMq/WFwBuGPR5bTofor-/QQ03lOaqIiVvwm1W/K_fbj6AIkIa4hq9b/K9JmD6AgFYRBSr4g/LsmNNr1kNnJIDnhc/jt4DyG1SKMk","https://imgproxy.fourthwall.com/Z48Ke5fChug4FxnYflScEFn9pBaDR8SHaqiijfqTamk/w:720/sm:1/enc/l4XLJmV0yuLPhWVY/AKjBUPCtBTiQjLu8/WoTM7kvr53n3wPdJ/97stUllY0aWrFQyB/FZd8VVehKt8UbNrW/NoiGBiqJlyZFQIIL/yAj1nyykfwg3CJo_/jQVib6o5FTnwIh_z/1TjQoXkF9bDkbCYC/RZnW_JtFwEHyD2tj/hMo-LNxzi_rf698T/m1ImViUBrg17jqNP/ijHmoBhgYJKgDCba/Yc4-rCew-6hRwXCA/u54pie7L7xU"
"1771750842-6","https://eleveprints.com/en-usd/collections/all","","Sunset Rider iPhone® Tough Case","$24.00","","https://imgproxy.fourthwall.com/jpSSbIq7QfyhU8U4GePO-egppoa5VPx1hFJPkIDH3pg/w:720/sm:1/enc/KKxGe7jXFJMXnBxC/JUW-r3Zyl1jo4PyT/eKg0rllDdxA0Ajid/lJLRazlkZfLpkzW5/pKCZgJoQi_1ZXGi-/N1BWxGHDmQ14lMzN/1cD2WiuHRqlq511p/721YExYiGrBoZjIY/94mIwWAjxSCI3PdC/LAsCAkQ9spHkWerS/-0-dUPhy99gW2tnC/HYji4J_GC87ARKJY/AOB4l8pz2PsxRrNM/2dTpT_65nafa5-y_/TsfenrtIaMA","https://imgproxy.fourthwall.com/J5ZWlIetltDx_xqoxjsVO0izieIIVwxs9UXVZNbCn-Q/w:720/sm:1/enc/2CAkM5gDG9xH66uV/3UPBaA0-38Zg1WE6/WDYzi1H24yUWeKQv/8RCoxMb-3Qhep1fe/paq3jx8Vhu7qygoj/qDqTY4afZ0UV5CXO/NJkpTn_fYdvdRnQA/JE_YQIwGQ0i1C5cr/EjiSjjrDftJzmr-u/xM16rEnXSRbtpDNf/9nfjywLPARBh2zOa/2bEF48YE8M-JXG82/4Bhr5sk7l9aIR8Pu/-TXoforIv-tEjrdh/kQUEoqZLZ3o"
"1771750842-7","https://eleveprints.com/en-usd/collections/all","","Waveform Teal Tough iPhone® Case","$24.00","","https://imgproxy.fourthwall.com/5zlaYG52pPHq9SglBj9rIMT_sYwHoUhjy8KjfXXzokc/w:720/sm:1/enc/W3UkvJBAzQSVdvin/sDqT02QlZjm1ocdw/MNWVYjb-_Cu9aDCr/rL0dE9xuzHzeopjf/ajRJV47K0olOQRWy/gQAqfioYkkZX4ori/W5MGxZ3wsVVPD9YA/EHSAou40svbXg0S6/9msbAqyN7jsO7ul_/XnC7v-SQ_kVYmYhS/qHhPZND2c6BW06_I/9KYYEgt1OpPtEuLu/-VAfBqFtsZKJBcv0/FilPDpF6BVdt7jVs/UCMfZZBbsfU","https://imgproxy.fourthwall.com/djEF0TQpa4zzD0yvI-DBJaEgDuwo0EeJqODbLKgGN9k/w:720/sm:1/enc/AgL3_5Hn3LRIssz1/Okp_jMeldUAkfvev/lpbz3iYouWEMHZCN/O-fQ-GxhuXVFDPpt/9aeK-tAKDzRB_TCK/O-uN1EMJd3vX07fO/uMfxhk5vGQqikm2t/yzfoASUS_zD2J1wk/PgURZEGx9e8ZALtY/Wz3WePyt_Pb0AyOA/tWJp8nWDqMVFMXIz/X_NhqMMNUkVjFbWs/-VHc1IQOHkD_G9A5/3BdEhJZG2eRljHRY/INWxmUUXiOo"
"1771750842-8","https://eleveprints.com/en-usd/collections/all","","Abstract Fusion iPhone® Tough Case","$24.00","","https://imgproxy.fourthwall.com/7Pb0PinF5XnqEQw77aT3Fxz_m9HlhguzoR4Kpadhbkk/w:720/sm:1/enc/gXAvyL5wkranepp2/b5tkamEhLiuSUBtt/zftgV-W0qLhlbx7j/15cWgqyPM8Asq8vO/XEVXlYyvYqCrJCPw/SqTbPVS8dN53jo0-/cj_xTBnVmwu5f7Lg/oPMSc_ijqP_qPYVH/Q0BCkIW6hxkUB2WB/8Pjdas5FOOeohHbZ/1J0zFOa3_dbbP92r/FKJ-GeMGBe05wXcg/7ElEtSr__w6GlAqV/ObAwknwQV3H5P0EH/ra8whTf8vGw","https://imgproxy.fourthwall.com/xAzy-xMIYLKtr77ufZxjPehXNPTMoLkDVSM0mZOVCtI/w:720/sm:1/enc/LlAdcsEk5SFjXttY/xFOizXVZLZglmAmu/ntJ56gDffaiUf80V/K6Y2q5xBffvOlvCC/sPqZHW0qB167tETZ/AL4nVQ4i0kkpzsNo/Hj3_Iu-AvMGjOajb/A3_N3YjfyNEQ6VJ9/_xRjxiFXu2TtL29c/vTNyemjzV8ln9QMX/P6X9yztgiYO8RRgc/t3SiKzHG7BvV372_/UGxJ2rn4DJBzfEBj/WRMoGayncI_COD2F/fe4lOejNW_s"
"1771750842-9","https://eleveprints.com/en-usd/collections/all","","Jagged Edge Tough iPhone® Case","$24.00","","https://imgproxy.fourthwall.com/FUzLzwtdxaLlv1W25UO2ewhq_DaTsRATbZbxB35QEJ4/w:720/sm:1/enc/q9wJM3O1mTv4O1zn/0PZ6_64KgtcGBTqG/Uf-WTv9Z13yE0qLV/fyUSl2zDeWnCJ2Ij/uturhSPtVPATxG1d/ZwZVN3InNnAdEa7r/5hVXPwcQ3pfWrs0b/hYSx-I0JarPrPIb_/9u7pm1y4KBdAtH85/bKAUlvT6RxuvetXZ/yK-Cjr9lQCUaFA4K/1hlDb6confayR2ss/FqLZ3kdxFWT19uqy/idszA5WhsPPZE0m8/r72gZ8T32_0","https://imgproxy.fourthwall.com/3XEkru4OBuf-sYvVX7f5CMosYpHKVhtZhOkLfCLWwg8/w:720/sm:1/enc/GwPTE_5hgmQ6npST/x9Nvy7XFxMw9LlP4/6AizEzBx_lJgZAVy/q4vMC8gbVmPCodof/gXNfk_ScsXMvrseW/k8yJdZ9p4KXNxCks/oKkXqN0Gk5c7Uy6g/nzblZDLhzRJXlWvD/PBPTYaOCPasHJoAO/G78KUNoCurEwqcgd/8tyTGKgrBsrevkLX/5eh9M9fYUMV3NOFV/Wa9DnX19UBBQ_MQo/m-d0TqYsEEx1t0lH/sFZtfM1M24U"
"1771750842-10","https://eleveprints.com/en-usd/collections/all","","Golden Stardust iPhone® Tough Case","$24.00","","https://imgproxy.fourthwall.com/8TNrf7n76dZ24uWBv881lOKqbL7PtwmJp4Eswsd0LYw/w:720/sm:1/enc/kiPZ6M_cnsoq0h5F/FZxQFNb7gD0iC_1z/VY1DfL06b7b0jgSc/penT8XRdzdeWKYyo/gPAiXW9rpe95qdVE/cTGTUB_yknD9bzc1/AiwhwUuk1VCffknu/QX55h5pBAv0npV_t/IKdsgP7WCKA7nb8i/vh9LsPnP6b4vJ9iI/eTlRryzLRgiNhAM1/e3SKAZGseBx0_rB8/KjeiEP6uyFmqqviH/LVadUGCFJAqwwtHx/iwBM3_otSv4","https://imgproxy.fourthwall.com/kGpfuVINeJkw_JbXcWuJBxwoS9GqD5sIJo9iCMF9OLU/w:720/sm:1/enc/rLDrPGWKHOtP-h8W/EciiZm7Q4o4wo2RL/_Gc0s6slzNGbuUMg/PsJWvq3BIZSsOO2f/g6IUadxJqdpJ0_IQ/kOJUEsiqiWejYQ6S/Bo9Ay-PIgf5H1EPA/yXTB2xJXMhZ_K6lB/c9TkRdrzxlIFtOfR/5aAeMSGJAma8V19x/sImRl7FdvX2WARq9/Fbhzf5FNNUcSXcW7/_H9mRBA4EvYDi6dQ/A0jn-FLxAAswg2HB/gqmZmKOM9Xk"
