web_scraper_order,web_scraper_start_url,data,price,data2,price2,image,image2
"1771750582-1","https://eleveprints.com/en-usd/collections/t-shirts","Flaming Confidence T-Shirt","$22.00","+4","","https://imgproxy.fourthwall.com/UC3pEngHRD4m0b3gDyj5GINrWtpEMx1cwAmQBGqwQYs/w:720/sm:1/enc/ReXm0rLBfojDFLWr/GTZmi-OBoj35lFAo/L4IeSJX0wXRM57kj/62-_2NTKGglU8m2d/vzm7KWXAxGSsPp7d/EUlU6ntlfYF4QIKU/V1XUWHDrG49mW_5v/zXvwq66dpSQvLWQX/CyTvKeAKTTpgfCc7/O-6nCud9RwanFYYm/AMkLDU-j4BMT2oDK/vTXyIs43TbaE0rkp/WtxShBn6QUujJ8sr/kTaMlw","https://imgproxy.fourthwall.com/L0mDoOKB58i3JEaAim6r19lhwF9AMv00nC_Guap5iL0/w:720/sm:1/enc/I_S5lpjaOof-TiEg/hQKbK_lBr428sM4N/hjoyo6NERexp_5B1/1Z91kNoRF5F79_El/KLXwiXskUlq1w5IN/He1ilyZxhBoGU3kz/WSkVjH52RxPZs8Y-/I8FJ3kjgfYW6ZrSW/3nsjI1IMm81Mwp-W/E4L3VkeBVgS_kyE-/gOpHE3WrMrEtEKft/06C2outPXx_Qqbbk/piea9QwG1gXR-bAB/yp04hw"
"1771750582-2","https://eleveprints.com/en-usd/collections/t-shirts","Rugged Rider Skull Graphic Tee","$27.00","+12","","https://imgproxy.fourthwall.com/0CcqGsKjevtViQXTQrkLaiWsWTkAuM1cqJroORE2dac/w:720/sm:1/enc/qlNbZnT5BEFM2dY8/n8Qwy08VPtVaX5FV/noyb4SKJ4PTKs8Sy/PxY60lnGEl5KClN2/Sfu5CQp9OreHwmCq/UKl9oMWH22i5nGcu/QpTxjgvjovtvkSAL/jRuvxD5ft4CiotYu/rujPcQI3oMMbeArM/1j2-vM3-lDSJ_bCt/7FQcowZFuHaLV7Wq/TuIOgsYjLhxXNEh5/3QsmM61fP4zCAc9a/LAUABAZeuZLRKJxI/w8IzG3N6QEU","https://imgproxy.fourthwall.com/L0p9c1sSC67sqrpzJTZ7NZMz_cvn_Ws2tazTnw6AlP4/w:720/sm:1/enc/K-Ie5lPlVvOPx_06/ygBEksGJZ74NEwrB/oEBVXB8zry2t3357/MTYedrUEnyjQyLrm/YsHhAvJd99Q2OBFD/Y2B_3pO0ht05rig0/xW6DXRWI1ti4G_jO/pEj7WhgXb5XV3A9t/7AojCjyxj_CcstsL/pZBr7GN6W02wszkz/DuMaGDTaxv3low4n/fHNbnHoOjQsMNQvJ/c22wia31IcR35b97/bSJEEF897UtDurQ9/FhUFp6zgQDo"
"1771750582-3","https://eleveprints.com/en-usd/collections/t-shirts","Eyes of Tomorrow Unisex T-Shirt","$15.00","+3","","https://imgproxy.fourthwall.com/Dx3C_uDYfn5RVWyRlxpvU9y5iD1VjQ1ISl16Ys3FEkA/w:720/sm:1/enc/zyIXuOzlxMPrUp5g/mo4_lh2wmK_9DePi/N1VMNFpahPobDrPW/9EitRH-pQWRQAV3-/5XjlJ29rRXvwieQq/5-YkfPbz2_gWh2LB/3abrYO8FWfVGgZVH/9KDdijJ3iLEsAh9w/Cb622Zm2iaDCmRgQ/H9oMJqZW-qPH3j9V/KQtVfaAq4GfRpLbu/QrMa-M-N-QmgT2sx/mHxBMtPGuoox7b14/K8YJVuLnrNL1SRZx/U6VqvjwVikA","https://imgproxy.fourthwall.com/eOxmpwHJaSaw7sbhZPbBxxtdrvZkyZs5Y458J6JRVTs/w:720/sm:1/enc/61Q84Ox4RP01QcE3/lecSLFx2ZTsNqFyj/e-tk1N6gq_X0e7oa/5J_NTwPK7dOflqvo/upgpj4KEj3oTYxyL/v15XqUmWIYYdZ1YM/7sOFkfHF33GyThzS/jE8J2u_8wt_0iJ-a/qvEsAodZcFeQvobu/Yox2XzIo2yU9f2HH/YWUcmsFCBKc1h6F7/FvDLWzMiQMRnmZz7/_9AK7CZAUcq7giKY/Qyt-xzuZjtAJT50s/YEWBLq22rZ4"
"1771750582-4","https://eleveprints.com/en-usd/collections/t-shirts","Japanese Kanji Circle Unisex T-Shirt","$15.00","","","https://imgproxy.fourthwall.com/e4SqY_60LyrPInHg1pcP_v7Q690EozQ3WDlUbj5RcIo/w:720/sm:1/enc/X8PHQ_lqG_Iz-BsH/Nmymb44iTRx78aQJ/Qp6ybs8-dssqD75g/gJtLeZ9IiE9TyD1X/q5Lwsg1r3crQhGcC/9JDLE0ENUXghLqCj/biWq3FRH0iSpOE5w/XZNfS5_P1Fq4UxL9/5dHHo1ath4g4ZRE3/iy8M5ChmCi6vOeCa/ljvR6dTi_v1a-tOa/aOov7NeVTl2r2bPN/ra0InzHFzqcRaj0w/nzG49yXzmsbPDvth/2C-pemUp_YE","https://imgproxy.fourthwall.com/R0pTJupGTpO3TnkYq3Al9S2UOTE68LI3IbqsRQvBo2k/w:720/sm:1/enc/IsU0j_k4laesbpIV/VBhSneEEI5_aY6b3/heP36snZBxMY-mAR/mT75y6p-3Plnt5fQ/twEOaKtR-xCWy7Rs/tbRnszZtn40YI7Lt/LLoUX0-lEBg9ICSD/3vXoTrctJOGBbsnv/zvXuddaRJEN0t16u/dWQoDCspdvT1DLvN/njHJejHWf9v7kDuM/GfAvSncUJjdK_ROg/Bd9NLDHDb3syUjva/3LSyI5UAMAGE6151/stjD1kmw87Y"
"1771750582-5","https://eleveprints.com/en-usd/collections/t-shirts","Sonic Skull Vibes T-Shirt","$26.99","+12","$45.99","https://imgproxy.fourthwall.com/Hek2eEKZ7XofwkxkxrH7esWBzLMHzDr2lBVqxB40Z-E/w:720/sm:1/enc/mGCDkv5tjfaUgOH1/j4tLYiZ2glg9PO9s/w248vFbobkFSoYEm/oAHxxviKs-h76iOw/oIm1R4OmWuheCuMk/8wgmQqdSwoiwZ88I/jaJIKpbumjX3ixRC/6djHVTC28_doeIBx/YscnnTIOhB4WoCo3/eUfVhUz7Z4Sl3-nL/gdp9RYZIF3tNRx-S/e5ysMa69BLCfgjMU/aavtzhUD-znDf_gn/cyc_cOAsbZzqXJT9/OVnUleo61xM","https://imgproxy.fourthwall.com/deoQsDVl82V-h0X8teya6nScAVpHVuPM3jqmMET7ig4/w:720/sm:1/enc/IUJEeLkWc9pGV7aj/GRQoR888njGZTyzH/q_DJIbIJ5Q6xhD05/uFM9fFq0YoaSSAiI/aorz6TwXwFPoRgOL/ng-2jvzu0jgS0fDg/pqrkkmrDWehyUL6U/g7qpvDfhxPEcklr0/vJjVKBWBrRnDJVuv/EQNLCvj9xYJec6-n/lsAASliUZKdfo9_2/-ogrP---aSpQ2XCj/cfgPF0pWYX6uZdlS/Dl8xoHyrBeH7D-3v/gqQ5eKfnuIU"
"1771750582-6","https://eleveprints.com/en-usd/collections/t-shirts","Freedom Graffiti Classic T-Shirt","$25.00","+10","","https://imgproxy.fourthwall.com/xDXEgzXEmqFE-uRcb7IzgIolpn5jsXX3djiJ1Gekjxg/w:720/sm:1/enc/iNS6nh1ETsMETQ5W/3UUdYYOWNGvK0Hf4/lII73Iz8OMTHg_7K/7mgatAMEjryU_wHE/65hYXU08FeEFEcZA/DsU9ubKGHOuGuLwv/H6B1V29FO-Qx1h0O/qH9ivBDAI4tFxO1G/7pO5_e4cmKRH7QOv/FctbPbXx203DngAQ/v2ZX8PD-iyovGziC/GnpVrTIO5VKviuMw/p6OprehsVayMu1WK/BqavsoOmY_Px15zc/cxwZ9XVmBRc","https://imgproxy.fourthwall.com/HKbCqB2IuH5lV1l56-itLcVLkYKD2R-rMzF3DpONCrw/w:720/sm:1/enc/jALEkcFZ3drFI2mm/zgDrqm_n8kQznyOV/7xUlbgLn8UlShjE9/8-ZYUwyuIso74GwE/SSkICYH_C1jdIHaZ/SsleF1Uy8zlz0pr0/CTCaxIkTjFuG6DwP/gllKzVX-udXJCL-d/kC0Ly813q_MMbXDF/5KyyDvLpJsDhhp8M/1-DxDRDNCK9kIR_U/jxBHmMcQw6vFglL6/9Glq5Jc_6l60RzfP/8jJWRect_l0K_zly/H15ER9ZuAkA"
"1771750582-7","https://eleveprints.com/en-usd/collections/t-shirts","Astronaut Street Style T-Shirt","$25.00","+10","","https://imgproxy.fourthwall.com/vk2ifFtv4ln_lqWRW76dYYh2K3CgWuxR-XI1Gyh-Rhk/w:720/sm:1/enc/Q4FMsHots9hMkTBS/IuRb63CyWhM55LRo/_xP-st-hPtAewZ2j/EmvwDp1wHCEK2iyr/6J6_dZQu1-qNyIzI/Jwrh3f-mECltbsvb/HoM0dJ6UQnZhz4bN/d6Bgnjor6qeYu5Lt/pIDNIAsKlTvFBpJS/h-FiSunrC7sS7pXl/8zA3mLk6Kuh4O5eY/WYHO4HCxID619CdB/b4diACEbmgaxhVMh/vTl_weaEcySqcTKz/dYpX-a0wuT8","https://imgproxy.fourthwall.com/J3wxf_1C-Azjyq0wAXAT28Oz6hBt2S5aLcpmA4Oktv0/w:720/sm:1/enc/K1EdhPTSxSEuhezi/gtrJYPZMI4sSX7qr/NnEmmO0oRRHdp7l7/JFpsGuWFx4VZDPZ8/JDPZQg_o8picXuGF/cQqERSXqciNn2esw/0VPeFpq1iF50csdX/2VebNLoVsr1siABz/CXvEiFQfctO8cRC5/WretyD65Jg8TlZeE/btamzAUo_ShQfevw/SHrFJqQyJNbKMJJK/n1fPUGD1-VITbsL-/ExYeh9_KTWcDwUzE/LDHuWLuktxc"
"1771750582-8","https://eleveprints.com/en-usd/collections/t-shirts","Multi-Angle Mosaic Men's T-Shirt","$25.00","+10","","https://imgproxy.fourthwall.com/I3jzKRY3UNqHYkm6ePQgxPEuATxjCZBal6WA2ab9s1I/w:720/sm:1/enc/AzQOoCQLfueSZQNT/blCpxlFeSGdqmfbf/Hqj8Er9mQzK7SqFg/BDZZ09ezC_r8vgOs/xoZbPa1dldGCKOFQ/rmmSP49Avja3yQbD/UK9YMiP3sIfedJ14/pA2xdF-wLygSnrCQ/-UW_YpBvFFwYc80k/AAHmHnjqcuT8iVxw/lBDnY_k1tqfOaKUs/nGuq4Hgt8XVLub4N/N14C2BSb6ogC2kJx/PdRGjzRRJi8E35xt/qVywgAgDcCI","https://imgproxy.fourthwall.com/QFA3hfhoy57dSVZ7FzMXCrb5YCILjcllHY-DX8Hv1Ug/w:720/sm:1/enc/sIyFn-9PUJaWZARN/eHcPIyq10e3qBbwp/M_I1k2wsUdqs2u9D/RjmA7P4b7-g6fiAs/bYMqqSxSloUQr_1b/Y2Hut2pTXgqL7YHa/gOcjrfFpffL4ndj9/KZJlt_wvlivK-pR5/-3Em7rJTld2CTBGA/0259GkOFmbCE8oZc/QciI0jEx8gIhymKk/EsoffBhNoSdkWa8q/Zn-6hTRC__TrsDPs/yXmG0953lwmxrGrg/7FUFHCm3p_8"
"1771750582-9","https://eleveprints.com/en-usd/collections/t-shirts","Angel Wings Comfort Colors T-Shirt","$25.00","+10","","https://imgproxy.fourthwall.com/vg3XfLYuPLlSBlrKgwidX3sgxZWdkK5_tLLbZtf6I9Q/w:720/sm:1/enc/WCpaP9EzweExe9x8/nLVzwon-mIBi5Vs1/wUf4r6RtpYO7oPij/XZZXaRHPyFOMYzOc/Fq_2EAA3w2WYY3Lg/_GKN046jkk26fgv_/NrAe-Cv-U8OYKagK/AIVuA2LOqXDWQLl7/LGMKyRKVZKXRIqBE/-cLHX0geQbLvpLTK/b3acjrwDWd66-tBO/pqEiiIkj1-L5iTH7/Zj7M5Jn8MF5R3dd7/FDzPZeWCPDK606Il/R9vNhoWX7E4","https://imgproxy.fourthwall.com/Ag-jqAtoKyCRmtEw9hPHHwOQlQNkehDaw6iJdYcsn-U/w:720/sm:1/enc/dczPHlb5EtPQufxD/-axlLCDhY1mK4WlU/pAmecwDv0liXT_Yk/uuqLNQEsPhqr3YSI/cyX2C37GxEClMLcK/tuPGbMlWyxh-4YgR/NmxagUwf2N5G5-bk/Vdu3Weyr8s-JEEcv/awvLrgG5Xt2GL-Du/sfot23Z9q_9qXuCC/4N-JiSvMO_dovM_Z/AfMQEiGnkTCk5PjA/eUFmgUPvRLaMjVUy/YkqQFXrZjAfhziLP/8VEKlEys4Cc"
"1771750582-10","https://eleveprints.com/en-usd/collections/t-shirts","Dubai Skyline Grunge T-Shirt","$15.00","+9","","https://imgproxy.fourthwall.com/RBApHeat0uBsgaKmeOsZA2Ra3a_GD9AfAfrTdN3KIFI/w:720/sm:1/enc/HPFJCp0g1uF5oWiI/Z3fkq8a2J08IE5az/mIpvGxBacUB4Kycr/CYwvLQN0JyX_h0_w/7KFSZoh824FUqSBD/GbuN8g9U6hhutoed/geHxgcIhj1FfnzO7/H_53dkN9tqH1pLf3/jpa08eVkkujTZuqz/Dv7T2j3_fL9_6_Ww/p6R3y9Vd0p5zrmc_/SIxH9bWVZq4u5hBn/YusaT-9SF-b4dlmh/7a5sHLiLjmeySDsa/vtXZmJcU9-U","https://imgproxy.fourthwall.com/syrXPxmqmjn-HEm2WVW79c4Zjyn_ta0IAO8VxcEDys4/w:720/sm:1/enc/sQOw1R6q91ppCez2/NwPL24phRkV1IJ1X/mzGcxZC48t_pXTY7/OIjU3jRfhFoAYBNQ/yJP8FP7Ar8W3lWN2/_n95J2MavyUkHvOj/90cdZbhWQ8yLKYfA/9QUlznUsr7QxIvFP/ybIVWXKRbUrkMY5d/DQFjm1opBqcrRuH_/IVvWF8IdZMav9Qa7/RLIo05eysrgoF_by/SYQsAZHvugdF0fj0/AQFg6TrxVGTG7ORP/pUMaa9FkfY8"
